ModelName,Algorithm,ErrorOccurred,Count,Avg_ExecTime,Median_ExecTime,Avg_FirstOutput,Median_FirstOutput
gemma3_latest,Async,False,111,3.154407479828835,1.3569231750002473,2.552142222027038,1.0771872509999412
gemma3_latest,Async,True,2,1.131543803500108,1.131543803500108,0.9473361635000401,0.9473361635000401
gemma3_latest,Sync,False,111,3.1357304904954906,1.3371917220001706,3.1355971992972815,1.3370609000003242
gemma3_latest,Sync,True,2,1.176103355999885,1.176103355999885,1.176103355999885,1.176103355999885
llama3_2,Async,False,107,0.4923443349719738,0.4765289259994461,0.20695527085981408,0.2063678940003228
llama3_2,Async,True,6,1.4764866486666506,0.7088114235002649,0.1889673818332085,0.17521781650020785
llama3_2,Sync,False,108,5.375908724870374,3.006472324499555,5.363603667981511,3.003628056999787
llama3_2,Sync,True,5,13.529605201599953,7.579710766000062,13.529605201599953,7.579710766000062
mistral_latest,Async,False,104,2.490192459769236,2.2221898030001057,0.8505680085961492,0.6904197624999142
mistral_latest,Async,True,9,2.3247790398889063,2.261998940000012,1.5801083355555268,1.3098682169998028
mistral_latest,Sync,False,104,2.51290523954808,2.3152902844999517,2.5127334334615514,2.315138983499992
mistral_latest,Sync,True,9,3.0760929317777936,3.053857857999901,3.0760929317777936,3.053857857999901
phi4_latest,Async,False,111,5.5812050975315355,5.550732169000071,3.591281519144144,3.5246877590000167
phi4_latest,Async,True,2,15.523174488000024,15.523174488000024,14.760519425000014,14.760519425000014
phi4_latest,Sync,False,112,6.209896261946431,5.925378590000037,6.2097049350803655,5.925181199999997
phi4_latest,Sync,True,1,4.921752831999925,4.921752831999925,4.921752831999925,4.921752831999925
